_id,error,mode,plug_exist,plug_mode,plug_pow,power_count,powerdata
ObjectId(5bbebf5724aa9a0e4ad420e9),0,GET_POW," 0"," 1"," 1"," 1",0
ObjectId(5bbebf5724aa9a0e4ad420ea),0,GET_POW," 0"," 1"," 1"," 4",0
ObjectId(5bbebf5824aa9a0e4ad420eb),0,GET_POW," 0"," 1"," 1"," 1",0
ObjectId(5bbebf5824aa9a0e4ad420ec),0,GET_POW," 0"," 1"," 1"," 1",0
ObjectId(5bbebf5824aa9a0e4ad420ed),0,GET_POW," 0"," 1"," 1"," 1",0
ObjectId(5bbebf5824aa9a0e4ad420ee),0,GET_POW," 0"," 1"," 1"," 1",0
ObjectId(5bbebf5824aa9a0e4ad420ef),0,GET_POW," 0"," 1"," 1"," 1",0
ObjectId(5bbebf5824aa9a0e4ad420f0),0,GET_POW," 0"," 1"," 1"," 1",0
ObjectId(5bbebf5924aa9a0e4ad420f1),0,GET_POW," 0"," 1"," 1"," 1",0
ObjectId(5bbebf5924aa9a0e4ad420f2),0,GET_POW," 0"," 1"," 1"," 1",0
ObjectId(5bbebf5a24aa9a0e4ad420f3),0,GET_POW," 0"," 1"," 1"," 1",0
ObjectId(5bbebf5a24aa9a0e4ad420f4),0,GET_POW," 0"," 1"," 1"," 1",0
ObjectId(5bbebf5b24aa9a0e4ad420f5),0,GET_POW," 0"," 1"," 1"," 1",0
ObjectId(5bbebf5b24aa9a0e4ad420f6),0,GET_POW," 0"," 1"," 1"," 1",0
ObjectId(5bbebf5c24aa9a0e4ad420f8),0,GET_POW," 0"," 1"," 1"," 1",0
ObjectId(5bbebf5c24aa9a0e4ad420f7),0,GET_POW," 0"," 1"," 1"," 1",0
ObjectId(5bbebf5c24aa9a0e4ad420f9),0,GET_POW," 0"," 1"," 1"," 1",0
ObjectId(5bbebf5d24aa9a0e4ad420fa),0,GET_POW," 0"," 1"," 1"," 1",0
ObjectId(5bbebf5e24aa9a0e4ad420fb),0,GET_POW," 0"," 1"," 1"," 1",0
ObjectId(5bbebf5e24aa9a0e4ad420fc),0,GET_POW," 0"," 1"," 1"," 1",0
ObjectId(5bbebf5f24aa9a0e4ad420fd),0,GET_POW," 0"," 1"," 1"," 1",0
ObjectId(5bbebf5f24aa9a0e4ad420fe),0,GET_POW," 0"," 1"," 1"," 1",880
ObjectId(5bbebf6024aa9a0e4ad420ff),0,GET_POW," 0"," 1"," 1"," 1",2127
ObjectId(5bbebf6024aa9a0e4ad42100),0,GET_POW," 0"," 1"," 1"," 1",2152
ObjectId(5bbebf6124aa9a0e4ad42101),0,GET_POW," 0"," 1"," 1"," 1",2132
ObjectId(5bbebf6124aa9a0e4ad42102),0,GET_POW," 0"," 1"," 1"," 1",2129
ObjectId(5bbebf6224aa9a0e4ad42104),0,GET_POW," 0"," 1"," 1"," 1",2142
ObjectId(5bbebf6224aa9a0e4ad42103),0,GET_POW," 0"," 1"," 1"," 1",2144
ObjectId(5bbebf6324aa9a0e4ad42106),0,GET_POW," 0"," 1"," 1"," 1",2137
ObjectId(5bbebf6324aa9a0e4ad42105),0,GET_POW," 0"," 1"," 1"," 1",2138
ObjectId(5bbebf6424aa9a0e4ad42108),0,GET_POW," 0"," 1"," 1"," 1",2135
ObjectId(5bbebf6424aa9a0e4ad42107),0,GET_POW," 0"," 1"," 1"," 1",2137
ObjectId(5bbebf6524aa9a0e4ad42109),0,GET_POW," 0"," 1"," 1"," 1",2139
ObjectId(5bbebf6524aa9a0e4ad4210a),0,GET_POW," 0"," 1"," 1"," 1",2140
ObjectId(5bbebf6624aa9a0e4ad4210b),0,GET_POW," 0"," 1"," 1"," 1",3344
ObjectId(5bbebf6624aa9a0e4ad4210c),0,GET_POW," 0"," 1"," 1"," 1",2142
ObjectId(5bbebf6724aa9a0e4ad4210d),0,GET_POW," 0"," 1"," 1"," 1",9699
ObjectId(5bbebf6724aa9a0e4ad4210e),0,GET_POW," 0"," 1"," 1"," 1",9695
ObjectId(5bbebf6724aa9a0e4ad4210f),0,GET_POW," 0"," 1"," 1"," 1",9690
ObjectId(5bbebf6824aa9a0e4ad42110),0,GET_POW," 0"," 1"," 1"," 1",9714
ObjectId(5bbebf6924aa9a0e4ad42111),0,GET_POW," 0"," 1"," 1"," 1",9718
ObjectId(5bbebf6924aa9a0e4ad42112),0,GET_POW," 0"," 1"," 1"," 1",9726
ObjectId(5bbebf6a24aa9a0e4ad42113),0,GET_POW," 0"," 1"," 1"," 1",9707
ObjectId(5bbebf6a24aa9a0e4ad42114),0,GET_POW," 0"," 1"," 1"," 1",9700
ObjectId(5bbebf6b24aa9a0e4ad42116),0,GET_POW," 0"," 1"," 1"," 1",8155
ObjectId(5bbebf6b24aa9a0e4ad42115),0,GET_POW," 0"," 1"," 1"," 1",2914
ObjectId(5bbebf6c24aa9a0e4ad42117),0,GET_POW," 0"," 1"," 1"," 1",2913
